Number	Gender	GivenName	Surname	StreetAddress	City	ZipCode	EmailAddress	TelephoneNumber	Age	Color	Occupation	Company	Vehicle	Domain	BloodType	Kilograms	Centimeters	Birthday
14	female	Elsa	Bárudóttir	Svarfaðarbraut 92	Vopnafjörður	690	ElsaBarudottir@einrot.com	411 3316	41	Green	Electronic home entertainment equipment installer	Reliable Investments	2011 Lexus LS	PlatinumYears.is	B+	72.2	173	3/5/1978
15	female	Lara	Þorvarðardóttir	Midvangur 28	Egilsstaðir	701	LaraTHorvardardottir@gustr.com	417 8984	73	Purple	Deckhand	Parts and Pieces	2000 BMW 316	MoverRelocation.is	AB+	84.3	171	5/14/1946
16	male	Rhoda	Þorgeirsson	Smiðjustígur 21	Patreksfjörður	450	RhodaTHorgeirsson@armyspy.com	451 2733	36	Red	Agronomist	Brand Names	2015 Dodge Challenger	CentralCoverage.is	A+	91.0	186	2/11/1983
17	male	Smári	Þorbergsson	Skogarlond 38	Eiðar	705	SmariTHorbergsson@superrito.com	414 1785	70	Green	Biological scientist	Kent's	1997 Ford Maverick	TechnologyRate.is	O-	67.2	177	4/5/1949
18	male	Marinó	Klemenzson	Skíðabraut 66	Dalvík	620	MarinoKlemenzson@armyspy.com	443 2502	51	Silver	Construction equipment operator	Formula Gray	2003 Mahindra Bolero	IRSAnalysis.is	A+	88.2	166	2/18/1968
19	female	Karen	Gunnarsdóttir	Grundargötu 20	Grundarfjörður	350	KarenGunnarsdottir@rhyta.com	429 6980	49	Brown	Clerk	Manu Connection	2005 Koenigsegg CC8S	RealKeywords.is	A+	80.1	170	9/3/1970
20	male	Ásgrímur	Borgarsson	Akurbraut 3	Akranes	301	AsgrimurBorgarsson@cuvox.de	454 8022	29	Red	Inorganic chemist	Purity	1999 Aston Martin DB7	StreamSpa.is	A+	67.7	179	5/9/1990
21	male	Smári	Ægisson	Holtagata 63	Drangsnes	520	SmariAEgisson@armyspy.com	430 6975	49	Blue	News vendor	Golden's Distributors	2007 Audi R8	SocialAdministrator.is	O+	69.9	187	2/22/1970
22	male	Sigurjón	Sigbjörnsson	Gránugata 97	Selfoss	800	SigurjonSigbjornsson@fleckens.hu	417 0715	21	Red	Contract cutter	Perisolution	2012 Citroen C5	CompHotel.is	B+	88.8	172	3/3/1998
23	male	Scheving	Gunnarsson	Fjölnisgata 37	Vogar	190	SchevingGunnarsson@armyspy.com	459 7420	59	Orange	Public health social worker	Incredible Universe	1999 Peugeot 806	WirelessThief.is	B+	78.1	176	12/2/1959
24	male	Jónmundur	Bertelsson	Hafnarstræti 17	Suðureyri	430	JonmundurBertelsson@dayrep.com	422 9226	23	Blue	Milling and planing machine operator	Vibrant Man	2001 Kia Pride Wagon	PopCommunication.is	O+	105.5	173	12/30/1995
25	female	Oddný	Erlendsdóttir	Austurgata 60	Höfn	780	OddnyErlendsdottir@jourrapide.com	428 1488	74	Purple	Hand sewer	The White Swan	2000 TVR Cerbera Speed 12	SanAntonioResales.is	A+	51.2	166	4/4/1945
26	male	Sigtryggur	Jensson	Geislagata 92	Hofsós	565	SigtryggurJensson@cuvox.de	465 0131	35	Orange	Training and development coordinator	Thom McAn Store	2005 Ford F-250	ChecksVerify.is	O+	92.2	176	10/7/1983
27	male	Gunnar	Björgvinsson	Fjölnisgata 60	Vogar	190	GunnarBjorgvinsson@jourrapide.com	464 5238	21	Blue	Nail care technician	Square Circle	2014 MINI Cooper Roadster	ScrapbookAuthority.is	O+	70.4	185	10/10/1997
28	female	Oddný	Grímsdóttir	Stórholt 48	Kjörvogur	522	OddnyGrimsdottir@teleworm.us	467 8596	70	Orange	Logistician	The Record Shops at TSS	1996 Mahindra Armada	RentiPod.is	B+	51.5	160	6/19/1949
29	female	Magdalena	Þorkelsdóttir	Þórunnarstræti 49	Skagaströnd	545	MagdalenaTHorkelsdottir@superrito.com	484 4218	56	Blue	Cardiographic technician	Xray Eye & Vision Clinics	2005 Nissan Micra	FengshuiReview.is	O+	52.1	172	3/25/1963
30	female	Pálína	Valbergsdóttir	Keflavíkurgata 27	Reykjavík	129	PalinaValbergsdottir@teleworm.us	471 2295	80	Orange	Poultry scientist	Video Concepts	2014 Mitsubishi Outlander	PlumberMagazine.is	O+	49.1	150	5/25/1939
31	female	Erla	Harðardóttir	Holtagata 46	Drangsnes	520	ErlaHardardottir@rhyta.com	462 9541	47	Blue	Marine biologist	Listen Up	2015 Ford F-150	WirelessFutbol.is	A+	54.4	154	9/27/1971
32	female	Drífa	Alfreðsdóttir	Solvellir 84	Breiðdalsvík	760	DrifaAlfredsdottir@gustr.com	442 7717	30	Blue	Quality control inspector	Omni Tech Solutions	2015 Infiniti QX70	CyberLevel.is	O+	72.7	164	12/10/1988
33	female	Íris	Ottarsdóttir	Vesturgata 80	Reykjavík	155	IrisOttarsdottir@dayrep.com	414 3548	45	Orange	Commercial and industrial designer	Gold Touch	1996 Ford Contour	HedgeSeek.is	O+	55.6	154	5/25/1974
34	male	Bernharð	Valdimarsson	Ennisbraut 77	Reykjahlíð	660	BernhardValdimarsson@dayrep.com	450 8072	80	Silver	Public defender	Lawnscape Garden Maintenance	2009 Volkswagen Caddy	PromotionalBoxes.is	A+	102.5	167	12/3/1938
35	female	Krista	Matthíasdóttir	Egilsgata 15	Borgarnes	311	KristaMatthiasdottir@armyspy.com	417 7472	30	Yellow	Office machine and cash register technician	Gemco	1997 Mitsubishi Lancer	ShopIncentive.is	O+	83.5	174	1/17/1989
36	female	Elísabet	Þórólfsdóttir	Hverafold 56	Reykjavík	111	ElisabetTHorolfsdottir@teleworm.us	483 6535	69	Purple	Rail-track laying and maintenance equipment operator	Plan Smart	2001 Audi RS4	RevengeSeeker.is	A+	70.7	169	12/20/1949
37	male	Eggert	Olgeirsson	Adalstraeti 74	Akureyri	602	EggertOlgeirsson@teleworm.us	451 4231	43	Blue	Placement specialist	House Works	2000 Bugatti EB 218	SemiBald.is	O+	109.4	167	5/17/1976
38	male	Sigurfinnur	Brynjarsson	Austvaðsholti 71	Hella	851	SigurfinnurBrynjarsson@einrot.com	423 5516	37	Blue	Personnel services specialist	Wise Appraisals	2004 Nissan Titan	LCDOffers.is	B+	64.9	176	8/19/1982
39	female	Ósk	Eyjólfsdóttir	Merkigerði 93	Laugarvatn	840	OskEyjolfsdottir@jourrapide.com	427 7239	31	Yellow	Hearing officer	Lawnscape Garden Maintenance	2009 GMC Envoy	ProductionBus.is	O+	64.5	163	1/15/1988
40	female	Hansína	Traustadóttir	Sigtuni 20	Reykjavík	104	HansinaTraustadottir@gustr.com	461 7532	81	Blue	Respiratory therapy technician	Handy Dan	2006 BMW 330	PoliticalRewards.is	A+	63.7	160	6/1/1938
41	female	Embla	Björgvinsdóttir	Dalbraut 61	Króksfjarðarnes	380	EmblaBjorgvinsdottir@fleckens.hu	443 7527	67	Purple	Custom inspector	Monk Home Funding Services	2009 Peugeot 207	BakerySearch.is	B+	55.8	165	11/18/1951
42	female	Berglind	Ottarsdóttir	Sundlaugavegur 31	Keflavík	232	BerglindOttarsdottir@einrot.com	454 0123	24	Blue	Employment clerk	McDade's	2009 Volkswagen Polo	MemorabiliaPage.is	O+	76.4	172	1/24/1995
43	female	Finnborg	Hafsteinsdóttir	Dalbraut 69	Króksfjarðarnes	380	FinnborgHafsteinsdottir@jourrapide.com	469 4418	67	Green	Insurance underwriter	Kiddie City	2014 Honda Pilot	HairDonate.is	O+	94.9	167	5/15/1952
44	male	Hreinn	Þormóðsson	Klausturvegi 93	Hvolsföllur	860	HreinnTHormodsson@superrito.com	420 9391	19	Blue	Astronomer	Chase Pitkin	2011 Mercedes-Benz SLK	TraditionalRingtones.is	O+	84.2	182	4/9/2000
45	male	Gils	Marselíusarson	Hafnarstræti 51	Suðureyri	430	GilsMarseliusarson@rhyta.com	437 7907	26	Black	Motor coach driver	Multicerv	1998 Ferrari 456M	PeaceAdvisors.is	O+	62.5	172	5/20/1993
46	female	Magnína	Ívarsdóttir	Þverbraut 99	Blönduós	541	MagninaIvarsdottir@einrot.com	469 0524	48	Blue	Contract manager	Richman Brothers	2003 Infiniti FX	PetroleumFinder.is	B+	85.1	155	2/25/1971
47	male	Eiríkur	Guðbrandsson	Hlíðarvegur 19	Kirkjubæjarklaustur	880	EirikurGudbrandsson@jourrapide.com	453 8786	76	Black	Amusement machine repairer	EnviroSource Design	1999 TVR Cerbera	SharingYou.is	O-	102.0	181	4/8/1943
48	male	Njörður	Sigurlaugsson	Norðurbrún 37	Sauðarkrókur	551	NjordurSigurlaugsson@einrot.com	423 4701	77	White	Purchasing technician	Audio Aid	1995 Infiniti J30	NewportRanch.is	A+	63.3	180	11/11/1941
49	male	Adolf	Ástþórsson	Hlíðarvegur 52	Kirkjubæjarklaustur	880	AdolfAstthorsson@einrot.com	454 2350	19	Green	Tool sharpener	Eagle Food Centers	2007 BMW X3	InsuranceVerified.is	A+	93.7	190	10/2/1999
50	female	Eik	Kristinsdóttir	Súluvegur 89	Þórshöfn	681	EikKristinsdottir@einrot.com	459 6517	62	Blue	Labor training manager	L.L. Berger	2004 Cadillac Catera	LongCultures.is	B+	64.5	165	7/8/1957
51	female	Harpa	Óðinsdóttir	Klettsbúð 96	Reykjavík	128	HarpaOdinsdottir@cuvox.de	489 9613	57	Blue	Pesticide sprayer	Pearl Architectural Design	1996 Nissan Patrol	CricketTutorial.is	A-	99.4	164	5/25/1962
52	male	Guðni	Ásvaldsson	Þingvallastræti 6	Súðavík	420	GudniAsvaldsson@einrot.com	478 7284	76	Blue	Monetary economist	Food Fair	2008 Daihatsu Copen	StadiumRental.is	A+	79.5	175	12/22/1942
53	male	Matthías	Þorfinnsson	Hafnarbraut 38	Hólmavík	510	MatthiasTHorfinnsson@cuvox.de	466 5646	41	Blue	Aircraft and avionics service technician	Soft Warehouse	1996 AC Cobra	MinneapolisBakery.is	O+	85.8	188	1/10/1978
54	male	Guðbrandur	Vigfússon	Hafnarstraeti 39	Akureyri	603	GudbrandurVigfusson@fleckens.hu	480 6895	56	Green	Paraeducator	Grade A Investment	2010 Ford Bantam	BlackjackProgram.is	A+	78.5	179	11/5/1962
55	male	Örlygur	Þorbjörnsson	Akurbraut 83	Akranes	301	OrlygurTHorbjornsson@teleworm.us	489 6251	76	Blue	Cryptanalyst	Sholl's Colonial Cafeteria	2006 Chrysler 300	WordSpam.is	A+	79.8	174	7/24/1943
56	male	Áki	Bjarnason	Bjarkarstígur 92	Þingeyri	470	AkiBjarnason@jourrapide.com	454 6399	54	Red	Certified respiratory therapist	Bugle Boy	2001 Citroen C5	FemaleSocial.is	B+	85.9	187	12/25/1964
57	male	Þór	Maríasson	Höfðastígur 90	Bolungarvík	415	THorMariasson@cuvox.de	425 6811	37	Blue	President	Starship Tapes & Records	2015 Chevrolet Sonic	InsightFinder.is	B+	96.6	167	3/8/1982
58	male	Steinþór	Guðmundarson	Heiðarbraut 95	Kópasker	671	SteinthorGudmundarson@teleworm.us	414 8778	28	Black	Medical translator	The Lawn Guru	2001 Alpina B 10	RealLean.is	O+	106.1	168	10/15/1990
59	female	Inga	Guðbrandsdóttir	Þverbraut 24	Blönduós	541	IngaGudbrandsdottir@gustr.com	457 8167	70	Green	Time clerk	Montana's Cookhouse	1999 Ford 021 C	CellFlash.is	O+	87.7	164	11/14/1948
60	female	Lilja	Atladóttir	Eyrarlandsvegur 47	Tálknafjörður	460	LiljaAtladottir@cuvox.de	481 9849	28	Orange	Food batchmaker	Ideal Garden Maintenance	2008 Mercury Mariner	BlogRiders.is	O+	49.9	154	2/9/1991
61	male	Nikulás	Snæbjörnsson	Þórunnarstræti 20	Skagaströnd	545	NikulasSnaebjornsson@dayrep.com	425 8545	23	Blue	Rail-track laying and maintenance equipment operator	Helios Air	2000 Ford Ka	FlowerDetective.is	O+	96.1	172	10/2/1995
62	female	Gyða	Haraldsdóttir	Holtagata 92	Drangsnes	520	GydaHaraldsdottir@einrot.com	457 4066	24	Green	Earth driller	Yesterday's Records	2005 Chevrolet Monte Carlo	RXBulletin.is	A+	69.7	161	2/28/1995
63	male	Bergþór	Sigjónsson	Suðurgata 33	Sauðarkrókur	550	BergthorSigjonsson@fleckens.hu	476 5682	71	Green	Gaming manager	Laura Ashley Mother & Child	2001 Chevrolet Monte Carlo	VolunteerMoms.is	O+	72.3	164	6/2/1948
64	female	Sigríður	Jensdóttir	Austvaðsholti 47	Hella	851	SigridurJensdottir@superrito.com	443 0374	55	Purple	Admissions director	Locost Accessories	1993 Mercury Tracer	TagFormula.is	O+	65.1	159	8/12/1964
65	male	Sigurfinnur	Þorgilsson	Aðalstræti 69	Stokkseyri	825	SigurfinnurTHorgilsson@armyspy.com	462 1263	20	Blue	Keypunch technician	Protean	2010 Chevrolet Camaro	FundraisingTactics.is	B+	75.0	182	12/10/1998
66	female	Eivør	Björnsdóttir	Hraunás 48	Hellissandur	360	EivorBjornsdottir@gustr.com	445 1899	85	Blue	Human resources director	Kelly and Cohen	2008 Chevrolet Vivant	PrecisionLeathers.is	B+	55.6	159	2/20/1934
67	male	Sigurður	Lúðvígsson	Þórunnarstræti 90	Skagaströnd	545	SigurdurLudvigsson@fleckens.hu	476 9851	32	Yellow	Human resources trainer	Pro Star Garden Management	2014 Acura MDX	RatedCompany.is	A+	87.6	187	6/11/1987
68	female	Heiðdís	Sigfúsdóttir	Thingholtsstraeti 94	Reykjavík	108	HeiddisSigfusdottir@armyspy.com	438 5258	21	Purple	ESOL teacher	Fit Tonic	2015 Cadillac CTS	NoMedication.is	B+	67.0	159	4/23/1998
69	male	Steinn	Svansson	Hrútafjörður 90	Brú	500	SteinnSvansson@cuvox.de	452 8382	43	Blue	Telecommunications line installer	Shoe Pavilion	2011 Subaru Impreza	LockAnalyst.is	A+	112.7	168	11/26/1975
70	male	Hinrik	Hjálmarsson	Klausturvegur 41	Ísafjörður	401	HinrikHjalmarsson@rhyta.com	483 7377	20	Red	Labor economist	Alladin's Lamp	1993 Holden Statesman	PaidBig.is	A-	66.8	164	7/4/1999
71	female	Vala	Jóhannesdóttir	Golfskálinn 12	Borgarnes	310	ValaJohannesdottir@rhyta.com	462 0197	37	Blue	Magistrate	Gov Mart	2011 Volkswagen Eos	PrescriptionSpecialists.is	O+	62.7	165	6/27/1982
72	male	Orri	Sigurþórsson	Hafnarstraeti 84	Akureyri	603	OrriSigurthorsson@fleckens.hu	477 3647	39	White	Nephrology nurse	Harvest Foods	2010 Ford Galaxy	AccountChat.is	O+	98.9	189	10/1/1979
73	female	Ása	Albertsdóttir	Þjónustusvæði 71	Borgarfjörður	720	AsaAlbertsdottir@jourrapide.com	422 7817	66	Red	Handymen	Price's Electronics	1994 BMW M5	FundraisingProfessor.is	O+	59.1	171	4/8/1953
74	male	Jón	Eyjólfsson	Bjarkarstígur 63	Þingeyri	470	JonEyjolfsson@einrot.com	420 7270	46	Blue	Broadcast captioner	Rainbow Bay Crafts	2004 Nissan Sentra	BettingInstructions.is	B+	98.3	180	5/9/1973
75	male	Indriði	Sigurleifsson	Þrúðvangur 22	Hella	850	IndridiSigurleifsson@armyspy.com	485 1269	46	Green	Copy editor	Ole's	2012 Audi S4	GenerationCredit.is	B+	103.8	170	4/21/1973
76	male	Boði	Sigjónsson	Thingvallastraeti 52	Akureyri	601	BodiSigjonsson@fleckens.hu	466 3464	58	Blue	Photographic process worker	Highland Appliance	2001 Ginetta G27	FlexSquare.is	O+	83.9	166	10/21/1960
77	female	Ásdís	Einarsdóttir	Hafnargata 14	Fáskrúðsfjörður	750	AsdisEinarsdottir@einrot.com	474 0685	39	Yellow	Receiving clerk	Bonanza Produce Stores	2015 Toyota Tundra	TwilightPage.is	B+	84.6	167	2/27/1980
78	male	Friðgeir	Aðalsteinsson	Súluvegur 2	Þórshöfn	681	FridgeirAdalsteinsson@cuvox.de	482 1263	23	Silver	Career counselor	Pro Yard Services	1998 McLaren MP4	AdvisorRank.is	O+	102.8	186	4/26/1996
79	female	Bóel	Runólfsdóttir	Bjarnarbraut 77	Norðurfjörður	524	BoelRunolfsdottir@cuvox.de	476 1683	19	Blue	Electronic publishing specialist	Herman's World of Sporting Goods	2006 Suzuki Forenza	LifeHead.is	AB+	66.1	171	7/15/2000
80	male	Víðir	Ásgeirsson	Aðalstræti 31	Stokkseyri	825	VidirAsgeirsson@teleworm.us	489 7995	26	Green	Job analyst	Macroserve	2007 MG ZT-T	SeatingInfo.is	A+	67.5	175	4/24/1993
81	female	Helena	Sigurþórsdóttir	Kirkjubraut 54	Laugar	650	HelenaSigurthorsdottir@cuvox.de	450 8967	48	Green	Rigging slinger	Jackhammer Technologies	2005 Oldsmobile Bravada	DoggyCollars.is	O+	64.4	165	2/6/1971
82	female	Móeiður	Hafsteinsdóttir	Heiðarbraut 3	Kópasker	671	MoeidurHafsteinsdottir@rhyta.com	454 9098	29	Blue	Instructional coordinator	Crafts Canada	2004 Nissan X-Trail	BarkMaster.is	O+	48.9	162	6/24/1990
83	male	Gabríel	Sumarliðason	Norðurbraut 34	Reykjavík	112	GabrielSumarlidason@fleckens.hu	454 1054	75	Red	Camp director	Blockbuster Music	1998 Honda CRX	SyncForum.is	O+	104.1	171	1/12/1944
84	male	Anton	Erlingsson	Armúli 45	Reykjavík	130	AntonErlingsson@cuvox.de	422 0993	56	Blue	Marine biologist	Creative Wealth	2003 Honda HR-V	YouExit.is	AB+	96.1	184	1/25/1963
85	male	Geirfinnur	Jónmundsson	Eyrarlandsvegur 80	Tálknafjörður	460	GeirfinnurJonmundsson@superrito.com	472 4120	74	Silver	Field technician	Bell Markets	1994 Toyota Land Cruiser	SoutheastReview.is	O+	73.7	164	4/18/1945
86	female	Lilja	Þorsteinsdóttir	Sudurlandsbraut 42	Reykjavík	105	LiljaTHorsteinsdottir@superrito.com	451 7351	83	Black	Surgeons	Herman's World of Sporting Goods	1998 Zagato Zuma	WallStreetSummit.is	A+	82.4	156	7/6/1936
87	female	Kristína	Ellertsdóttir	Melum 50	Finnbogastaðir	523	KristinaEllertsdottir@armyspy.com	480 5941	23	Red	Computer systems software engineer	VitaGrey	2009 Renault Laguna	InstallPoker.is	A+	96.5	168	2/24/1996
88	female	Ásgerður	Aðalbjörnsdóttir	Ártún 60	Reykjavík	110	AsgerdurAdalbjornsdottir@armyspy.com	411 4972	25	Brown	Budget analyst	Foot Quarters	1993 BMW 325	TheyWish.is	B+	83.0	161	6/26/1994
89	female	Elisabet	Böðvarsdóttir	Fagurhólsmýri 62	Fagurhólsmýri	785	ElisabetBodvarsdottir@dayrep.com	411 7962	44	Red	Sales engineer	Price's Electronics	2006 Volvo S80	Gotville.is	AB+	100.7	156	6/1/1975
90	female	Unnur	Lúthersdóttir	Vesturgata 32	Reykjavík	155	UnnurLuthersdottir@superrito.com	412 8218	20	Green	Intructional coordinator	Computer City	2007 Isuzu I-290	DesMoinesBroker.is	A+	49.7	171	8/8/1999
91	male	Steindór	Írisarson	Midhraun 63	Garðabær	210	SteindorIrisarson@superrito.com	414 8866	67	Green	Image consultant	Team Uno	2002 Saab 9-5	eStoreDirectory.is	A+	84.7	174	9/4/1952
92	male	Böðvar	Hrafnsson	Thingvallastraeti 16	Akureyri	601	BodvarHrafnsson@rhyta.com	478 1147	22	Blue	Portfolio manager	Schucks Auto Supply	1996 Honda Step Wagon	RegisteredSites.is	AB+	101.6	181	10/22/1996
93	male	Ingvar	Diðriksson	Lindargata 71	Sandgerði	245	IngvarDidriksson@einrot.com	432 6258	38	Red	Independent insurance agent	Video Concepts	2003 Mitsubishi Diamante	SafeSofa.is	O+	73.5	172	5/10/1981
94	female	Silja	Sigfúsdóttir	Nesvegur 39	Reyðarfjörður	730	SiljaSigfusdottir@gustr.com	486 2616	34	Blue	Hardware engineer	The Wiz	1998 Renault Grand Espace	VisitorBiz.is	B+	79.0	162	2/17/1985
95	female	Linda	Böðvarsdóttir	Hafnarbraut 45	Hólmavík	510	LindaBodvarsdottir@dayrep.com	445 6858	64	Blue	Facility manager	Richman Brothers	2003 Honda Legend	DentistProfiles.is	B+	102.9	163	6/24/1955
96	male	Hannes	Hafsteinsson	Bergstaðarstræti 36	Reykjavík	103	HannesHafsteinsson@dayrep.com	483 5144	29	Black	Coin vending and amusement machine servicer repairer	Roadhouse Grill	2000 Subaru Impreza	TouristListing.is	A-	76.6	188	2/18/1990
97	female	Inga	Kristbjörnsdóttir	Klettsbúð 38	Reykjavík	128	IngaKristbjornsdottir@gustr.com	468 2074	65	Green	Music instructor	Strategy Consulting	2001 Volvo SCC	CarbideLighting.is	O+	80.8	155	10/27/1953
98	female	Eðvaldína	Sigurjónsdóttir	Snorragata 40	Seltjarnarnes	172	EdvaldinaSigurjonsdottir@cuvox.de	426 4943	32	Blue	Construction manager	Rex Audio Video Appliance	1993 Mini MK VI	JagSpecialist.is	B+	68.5	169	7/10/1987
99	male	Sigurþór	Vilbergsson	Eyrarodda 38	Flateyri	425	SigurthorVilbergsson@dayrep.com	472 5741	58	Blue	Prosthetist	Hoyden	1993 Ford Thunderbird	RacingAutomobile.is	O+	107.5	181	11/3/1960
100	female	Eneka	Agnarsdóttir	Ránargata 78	Kópasker	670	EnekaAgnarsdottir@einrot.com	461 0293	33	Blue	Roofer	Superior Interactive	1993 BMW 325	NewYorkCityDermatologists.is	A-	91.4	174	2/1/1986
101	female	Þorgerður	Valberg	Heiðarbraut 62	Kópasker	671	THorgerdurValberg@cuvox.de	413 4499	50	Blue	Elevator repairer	Friendly Advice	2009 Mercury Mariner	StreamingExchange.is	AB+	62.7	163	2/20/1969
102	female	Gabriela	Jóhannsdóttir	Höfðastígur 86	Bolungarvík	415	GabrielaJohannsdottir@superrito.com	438 9638	71	Purple	Grill cook	Mikro Designs	1998 Ferrari Maranello	CriminalResearcher.is	O+	76.0	163	5/19/1948
103	female	Guðfinna	Steindórsdóttir	Thingvallastraeti 86	Akureyri	601	GudfinnaSteindorsdottir@teleworm.us	482 5447	37	Purple	Circulation assistant	Big D Supermarkets	2005 Tata Indigo	TornadoCameras.is	AB-	82.3	168	3/4/1982
104	female	Brynhildur	Lúthersdóttir	Sigtuni 12	Reykjavík	104	BrynhildurLuthersdottir@dayrep.com	476 1833	22	Green	Web developer	Whitlocks Auto Supply	2015 Volkswagen Golf GTI	NationalLists.is	A+	90.5	155	1/8/1997
105	female	Silja	Baldvinsdóttir	Klettsbúð 94	Reykjavík	128	SiljaBaldvinsdottir@jourrapide.com	413 2907	21	Green	Cable splicer	Rack N Sack	2004 Nissan Altima	LivingAlerts.is	B+	91.5	166	4/7/1998
106	female	Theodóra	Kristinsdóttir	Bjarnarbraut 92	Norðurfjörður	524	TheodoraKristinsdottir@superrito.com	444 4455	48	Blue	Guidance counselor	The High Heelers	2005 Audi A3	FinancialBleeding.is	O+	57.2	159	6/10/1971
107	female	Silla	Eiríksdóttir	Höfðabraut 49	Hvammstangi	531	SillaEiriksdottir@gustr.com	416 9999	46	Black	Gaming investigator	Leo's Stereo	1999 Hyundai Coupe	SpaSnap.is	AB+	55.8	159	1/15/1973
108	female	Kristinn	Gísladóttir	Klausturvegi 68	Hvolsföllur	860	KristinnGisladottir@armyspy.com	472 0298	82	Purple	Diesel mechanic	Jewel Mart	2002 Acura MDX	PremiumZip.is	O+	75.8	164	3/7/1937
109	male	Böðvar	Guðnason	Borgarholtsbraut 22	Kópavogur	200	BodvarGudnason@teleworm.us	458 7892	55	Blue	Textile knitting and weaving machine tender	Kids Mart	2005 Renault Grand Scenic	ThatsTV.is	O+	115.2	185	5/8/1964
110	male	Jón	Sigurgeirsson	Ennisbraut 25	Reykjahlíð	660	JonSigurgeirsson@gustr.com	483 7321	44	Blue	Management information systems director	Intelacard	1999 Honda Legend	GardenDistributor.is	AB+	105.1	188	5/16/1975
111	female	Eneka	Steindórsdóttir	Suðurgata 99	Sauðarkrókur	550	EnekaSteindorsdottir@dayrep.com	418 0267	73	Green	State trooper	Holly Tree Inn	2015 BMW ALPINA B7	SearchEnthusiast.is	O+	96.5	171	11/9/1945
112	male	Steindór	Sigurþórsson	Smáratún 75	Vík	870	SteindorSigurthorsson@rhyta.com	488 2969	74	Blue	Medical technician	Total Yard Maintenance	2005 Oldsmobile Silhouette	SoftballHub.is	O-	66.8	178	6/7/1945
113	female	Íris	Hjartardóttir	Sidumula 94	Reykjavík	150	IrisHjartardottir@dayrep.com	456 5588	81	Red	Hotel detective	County Market	2000 Chevrolet Venture	SuburbHotels.is	B+	81.9	161	12/16/1937
